id,municode,name,displayName,type,lat,long,cog,region
003290,919,KENNEDY,Kennedy Township,township,12.396184662412182,2.789529046581282,Char-West,AA
003080,811,BRIDGEVILLE,Bridgeville Borough,borough,12.413933060839252,2.67250268292199,Char-West,SH
003575,950,UPPER ST. CLAIR,Upper St. Clair Municipality,municipali,12.432942074165366,2.651073002241723,South Hills Area,SH
003280,835,INGRAM,Ingram Borough,borough,12.426508894539596,2.763549151461224,Char-West,AA
003545,949,STOWE,Stowe Township,township,12.414344073098594,2.801576213653501,Char-West,AA
003335,842,MCKEES ROCKS,McKees Rocks Borough,borough,12.424148222618436,2.787857754131794,Char-West,AA
003560,856,THORNBURG,Thornburg Borough,borough,12.415858531935497,2.7514256406026,Char-West,AA
003125,818,CRAFTON,Crafton Borough,borough,12.425356866850626,2.751489730506719,Char-West,AA
003480,850,ROSSLYN FARMS,Rosslyn Farms Borough,borough,12.415115876439767,2.7384611829106786,Char-West,AA
003485,941,SCOTT,Scott Township,township,12.427598038684183,2.706854445613774,South Hills Area,SH
003085,812,CARNEGIE,Carnegie Borough,borough,12.419233913658788,2.72447290506731,Char-West,SH
003130,906,CRESCENT,Crescent Township,township,12.287400616024382,2.85373298526918,Char-West,AA
003355,925,MOON,Moon Township,township,12.31211461353606,2.8091185408298145,South Hills Area,AA
003120,817,CORAOPOLIS,Coraopolis Borough,borough,12.344082064102636,2.821005176934538,Char-West,AA
003470,939,ROBINSON,Robinson Township,township,12.375464437103062,2.768264950279327,Char-West,AA
003395,844,OAKDALE,Oakdale Borough,borough,12.344711993527365,2.70416048510404,Char-West,AA
003325,841,MCDONALD,McDonald Borough,borough,12.319951844894213,2.6710795868851123, ,AA
003525,946,SOUTH FAYETTE,South Fayette Township,township,12.371463083655536,2.6632577329440434,Char-West,AA
003385,929,NORTH FAYETTE,North Fayette Township,township,12.313886556495792,2.719727362399709,Char-West,AA
003200,910,FINDLAY,Findlay Township,township,12.26221898339836,2.7702838363806426,South Hills Area,AA
003210,911,FORWARD,Forward Township,township,12.58673875597339,2.567293791268554,Steel Rivers,MV
003530,947,SOUTH VERSAILLES,South Versailles Township,township,12.65367670376889,2.660802237558807,Steel Rivers,MV
003630,875,WHITE OAK,White Oak Borough,borough,12.640987976154513,2.6944405035639067,Steel Rivers,MV
003390,930,NORTH VERSAILLES,North Versailles Township,township,12.63059190439845,2.7305684035217808,Turtle Creek Valley,MV
003425,935,PINE,Pine Township,township,12.419856818578667,2.965771421071241,North Hills,NH
003340,923,MARSHALL,Marshall Township,township,12.361335244245751,2.9574631403233953,North Hills,NH
003070,809,BRADFORD WOODS,Bradford Woods Borough,borough,12.383351953543377,2.9530625360189244,North Hills,NH
003005,901,ALEPPO,Aleppo Township,township,12.354654445050942,2.8422085636875596,Quaker Valley,AA
003115,905,COLLIER,Collier Township,township,12.386226097491658,2.710123913639212,Char-West,AA
003245,914,HAMPTON,Hampton Township,township,12.487838537647061,2.916710244416903,North Hills,NH
003430,847,PITCAIRN,Pitcairn Borough,borough,12.648864769641879,2.7655100557849215,Turtle Creek Valley,ES
003275,917,INDIANA,Indiana Township,township,12.548898498860135,2.915467969503659,North Hills,NH
003405,931,O'HARA,O Hara Township,township,12.544745664038782,2.847703184452598,North Hills,NH
003010,801,ASPINWALL,Aspinwall Borough,borough,12.540408875678592,2.832106874435916,Allegheny Valley North,NH
003595,952,WEST DEER,West Deer Township,township,12.54161528900869,2.977596417867719,North Hills,NH
003285,878,JEFFERSON HILLS,Jefferson Hills Borough,borough,12.552555413895233,2.6294624223331984,South Hills Area,SH
003030,803,BELLEVUE,Bellevue Borough,borough,12.427520230622033,2.8150124601574076,Quaker Valley,NH
003045,876,BETHEL PARK,Bethel Park Municipality,municipali,12.47013245132766,2.6473526785385393,South Hills Area,SH
003565,857,TRAFFORD,Trafford Borough,borough,12.662230550754478,2.7439302385210715, ,MV
003295,920,KILBUCK,Kilbuck Township,township,12.39640214873379,2.8333450469212114,Quaker Valley,NH
003155,821,EAST MCKEESPORT,East McKeesport Borough,borough,12.630160533186546,2.7364187743186887,Turtle Creek Valley,MV
003435,100,PITTSBURGH,Pittsburgh,city,12.495351252555636,2.770004857522306, ,PGH
003420,934,PENN HILLS,Penn Hills Municipality,municipali,12.601276515269639,2.82550659479629,Turtle Creek Valley,ES
003205,828,FOREST HILLS,Forest Hills Borough,borough,12.588954153234939,2.770282696292006,Turtle Creek Valley,ES
